"Time","Flux","Count","Flux_1h_1h12m","Flux_1h_2h","Flux_1h_1d1h_top1","Flux_1h_1d1h_top2","Flux_1h_1d1h_top3","Flux_1h_1d1h_top4","Flux_1h_1d1h_top5","Flux_1h_1d1h_top6","Flux_1h_1d1h_top7","Flux_1h_1d1h_top8","Flux_1h_1d1h_top9","Flux_1h_1d1h_top10","Flux_1h_1d1h_top10sum"
2014-01-01 17:36:00,2.1247e-06,58,2.5365e-05,0.00010024,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,6.916e-06,6.8583e-06,6.7849e-06,8.74126e-05
2014-01-01 17:48:00,1.8807e-06,59,0.00010024,0.00010024,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,6.916e-06,6.8583e-06,6.7849e-06,7.76592e-05
2014-01-01 18:00:00,2.1902e-06,59,7.1854e-05,7.1854e-05,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,6.916e-06,6.8583e-06,6.7849e-06,8.87871e-05
2014-01-01 18:12:00,1.8807e-06,58,3.526e-05,3.526e-05,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,6.916e-06,6.8583e-06,6.7849e-06,9.37504e-05
2014-01-01 18:24:00,1.9463e-06,59,1.76e-05,1.76e-05,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,6.916e-06,6.8583e-06,6.7849e-06,9.37504e-05
2014-01-01 18:36:00,2.0879e-06,58,1.414e-05,1.4161e-05,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,6.916e-06,6.8583e-06,6.7849e-06,9.37504e-05
2014-01-01 18:48:00,6.8371e-05,59,1.4072e-05,1.4161e-05,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,6.916e-06,6.8583e-06,6.7849e-06,9.37504e-05
2014-01-01 19:00:00,7.1854e-05,58,1.4161e-05,1.4161e-05,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,6.916e-06,6.8583e-06,6.7849e-06,9.37504e-05
2014-01-01 19:12:00,3.526e-05,59,1.3862e-05,1.3862e-05,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,6.916e-06,6.8583e-06,6.7849e-06,9.37504e-05
2014-01-01 19:24:00,1.76e-05,59,1.2876e-05,1.2876e-05,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,6.916e-06,6.8583e-06,6.7849e-06,9.37504e-05
2014-01-01 19:36:00,1.414e-05,59,1.2299e-05,1.2299e-05,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,6.916e-06,6.8583e-06,6.7849e-06,9.37504e-05
2014-01-01 19:48:00,1.4072e-05,59,1.1108e-05,1.1108e-05,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,7.3567e-06,7.1836e-06,6.916e-06,9.37504e-05
2014-01-01 20:00:00,1.4051e-05,58,9.1353e-06,9.1353e-06,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,7.3567e-06,7.1836e-06,6.916e-06,9.37504e-05
2014-01-01 20:12:00,1.3862e-05,59,7.7135e-06,7.7135e-06,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,7.3567e-06,7.1836e-06,6.916e-06,9.37504e-05
2014-01-01 20:24:00,1.2876e-05,58,6.5068e-06,6.5068e-06,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,7.3567e-06,7.1836e-06,6.916e-06,9.37504e-05
2014-01-01 20:36:00,1.1617e-05,59,5.3054e-06,6.3546e-06,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,7.3567e-06,7.1836e-06,6.916e-06,9.37504e-05
2014-01-01 20:48:00,1.1108e-05,58,4.8004e-06,6.3546e-06,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,7.3567e-06,7.1836e-06,6.916e-06,9.46475e-05
